"Time (s)","latitude","longitude","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.933718071E2,6.500591408E1,2.558312152E1,2.153901948E1,1.604202625E0,2.352459219E2,4.738000320E0,3.372816330E0
1.943718044E2,6.500590611E1,2.558309025E1,2.133787815E1,1.593173107E0,2.351030654E2,4.740652567E0,3.369087454E0
1.953718013E2,6.500589991E1,2.558305777E1,2.150673758E1,1.615394992E0,2.395116694E2,4.737819090E0,3.373070902E0
1.963717982E2,6.500589226E1,2.558302965E1,2.155233985E1,1.589325522E0,2.374216829E2,4.733802144E0,3.378706009E0
1.973717953E2,6.500588397E1,2.558300252E1,2.145338001E1,1.600084406E0,2.338602464E2,4.732841421E0,3.380051645E0
1.983717921E2,6.500587833E1,2.558297131E1,2.157043505E1,1.601390957E0,2.401112590E2,4.735667709E0,3.376090695E0
1.993717883E2,6.500587012E1,2.558294207E1,2.146246893E1,1.610425104E0,2.378500016E2,4.735163089E0,3.376798418E0
2.003717858E2,6.500586218E1,2.558291378E1,2.117103258E1,1.612086431E0,2.369892726E2,4.735772966E0,3.375943046E0
2.013717831E2,6.500585451E1,2.558288314E1,2.060721628E1,1.605970606E0,2.389135616E2,4.732103262E0,3.381084996E0
2.023717788E2,6.500584345E1,2.558285487E1,2.055362361E1,1.606597915E0,2.334515176E2,4.733251854E0,3.379476871E0
2.033717763E2,6.500583495E1,2.558282780E1,2.083021824E1,1.595875089E0,2.345642805E2,4.732720056E0,3.380221576E0
2.043717741E2,6.500582605E1,2.558279770E1,2.049787105E1,1.619796696E0,2.366896819E2,4.733504975E0,3.379122325E0
2.053717711E2,6.500582231E1,2.558276265E1,2.155129458E1,1.598405246E0,2.441610003E2,4.736504696E0,3.374916340E0
2.063717678E2,6.500581407E1,2.558273085E1,2.095181872E1,1.605657425E0,2.414026085E2,4.737504781E0,3.373512336E0
2.073717653E2,6.500580537E1,2.558270136E1,2.087923329E1,1.617786719E0,2.415318163E2,4.736314150E0,3.375183744E0
2.083717625E2,6.500579400E1,2.558267306E1,2.062028173E1,1.620638991E0,2.373844406E2,4.733654179E0,3.378913309E0
2.093717583E2,6.500578469E1,2.558264540E1,2.093854172E1,1.622902998E0,2.373227899E2,4.734658446E0,3.377505949E0
2.103717562E2,6.500577631E1,2.558261488E1,2.122168639E1,1.626575385E0,2.368502025E2,4.735824009E0,3.375871441E0
2.113717530E2,6.500577092E1,2.558258429E1,2.134649242E1,1.621768107E0,2.386801983E2,4.738054010E0,3.372740908E0
2.123717495E2,6.500576447E1,2.558255233E1,2.127839181E1,1.637025699E0,2.407384032E2,4.737085928E0,3.374100465E0
2.133717468E2,6.500575606E1,2.558252611E1,2.144107758E1,1.614044412E0,2.372860834E2,4.737690852E0,3.373251017E0
